# simTime drag lift presDiff dispAx dispAy aleNorm aleTime flowTime beamTime couplingIter flowIter beamIter omega resAbs resRel
0.53 33.3672 -0.0564453 462.592 6.14603e-06 -4.78147e-05 8.43351e-06 106.598 773.369 96.8567 6 3 3 0.626377 1.12003e-11 0.000136229
0.54 34.1632 -0.0543685 472.129 6.98804e-06 -5.0993e-05 8.95389e-06 108.875 790.061 98.9357 6 3 3 0.630864 1.15943e-11 0.000140215
0.55 34.9637 -0.0520186 481.707 7.85333e-06 -5.42804e-05 9.49145e-06 111.152 806.738 101.016 6 3 3 0.636415 1.19605e-11 0.000143779
0.56 35.7689 -0.0493868 491.328 8.74107e-06 -5.7674e-05 1.00457e-05 113.429 823.414 103.096 6 3 3 0.643257 1.23155e-11 0.000147126
0.57 36.5789 -0.046458 500.999 9.6502e-06 -6.11703e-05 1.06161e-05 115.327 837.284 104.83 5 3 3 0.607949 9.53655e-11 0.00113198
0.58 37.3939 -0.0434984 510.723 1.05787e-05 -6.47654e-05 1.12019e-05 117.225 851.195 106.563 5 3 3 0.608008 8.47041e-11 0.000998738
0.59 38.2142 -0.0399214 520.506 1.15253e-05 -6.84553e-05 1.18026e-05 119.123 865.093 108.296 5 3 3 0.60805 7.71808e-11 0.000904149
0.6 39.0399 -0.0359389 530.354 1.24885e-05 -7.22354e-05 1.24173e-05 121.022 878.993 110.028 5 3 3 0.608104 6.95789e-11 0.000809714
0.61 39.8713 -0.0319546 540.271 1.34679e-05 -7.61008e-05 1.30453e-05 122.921 892.891 111.762 5 3 3 0.608184 6.15582e-11 0.000711477
0.62 40.7086 -0.0274618 550.265 1.4463e-05 -8.00464e-05 1.36858e-05 124.819 906.795 113.496 5 3 3 0.608246 5.59043e-11 0.000641886
0.63 41.5521 -0.0227128 560.342 1.54744e-05 -8.40665e-05 1.4338e-05 126.715 920.704 115.229 5 3 3 0.608324 5.04599e-11 0.000575483
0.64 42.402 -0.0176953 570.508 1.65022e-05 -8.81553e-05 1.50011e-05 128.612 934.61 116.962 5 3 3 0.608406 4.59803e-11 0.000520883
0.65 43.2586 -0.0123181 580.77 1.75467e-05 -9.23068e-05 1.56742e-05 130.511 948.504 118.695 5 3 3 0.608488 4.26104e-11 0.000479499
0.66 44.1222 -0.00666005 591.136 1.86077e-05 -9.65146e-05 1.63563e-05 132.409 962.415 120.429 5 3 3 0.608578 4.0041e-11 0.000447589
0.67 44.993 -0.000693465 601.612 1.96849e-05 -0.000100772 1.70465e-05 134.308 976.308 122.162 5 3 3 0.608669 3.84189e-11 0.000426625
0.68 45.8714 0.00558955 612.206 2.07772e-05 -0.000105073 1.77437e-05 136.205 990.191 123.895 5 3 3 0.608763 3.76365e-11 0.000415224
0.69 46.7576 0.0121694 622.925 2.18839e-05 -0.00010941 1.84469e-05 138.102 1004.09 125.627 5 3 3 0.608862 3.75577e-11 0.000411702
0.7 47.6519 0.0190586 633.777 2.30036e-05 -0.000113776 1.9155e-05 139.999 1017.99 127.36 5 3 3 0.608962 3.80795e-11 0.000414822
0.71 48.5546 0.0262533 644.768 2.41356e-05 -0.000118165 1.98671e-05 141.899 1031.93 129.092 5 3 3 0.609064 3.90547e-11 0.000422861
0.72 49.4659 0.0337543 655.905 2.52787e-05 -0.000122569 2.05819e-05 143.797 1045.88 130.824 5 3 3 0.609169 4.03596e-11 0.000434426
0.73 50.386 0.041566 667.195 2.64325e-05 -0.000126981 2.12985e-05 145.696 1059.79 132.557 5 3 3 0.609275 4.18921e-11 0.00044836
